resource_id,resource_type,quantity,last_update
1,Food,312.39,2024-12-10 03:11:04.293792
2,Energy,330.46,2024-12-10 16:11:04.293795
3,Energy,136.39,2024-12-10 07:11:04.293796
4,Water,739.6,2024-12-09 08:11:04.293797
5,Food,199.8,2024-12-08 23:11:04.293798
6,Food,495.4,2024-12-10 00:11:04.293799
7,Oxygen,281.55,2024-12-10 07:11:04.293800
8,Food,906.19,2024-12-09 03:11:04.293801
9,Oxygen,527.83,2024-12-09 13:11:04.293802
10,Food,606.95,2024-12-09 19:11:04.293803
11,Water,725.96,2024-12-09 03:11:04.293804
12,Food,225.4,2024-12-09 15:11:04.293805
13,Oxygen,643.98,2024-12-10 11:11:04.293806
14,Oxygen,585.86,2024-12-10 04:11:04.293807
15,Water,282.76,2024-12-10 12:11:04.293808
